name,tags,species,food_type,description,price,stock,image
Bacon Flavour Spray,"protein,healthy",All,Pet Food,"Bacon Flavour Spray - a nutritious treat for pets.",9.99,100,products_images/bacon_flavour_spray.png
Frozen Quails,"protein,healthy",All,Pet Food,"Frozen Quails - a nutritious treat for pets.",9.99,100,products_images/frozen_quails.png
Blood Sausage,"protein,healthy",All,Pet Food,"Blood Sausage - a nutritious treat for pets.",9.99,100,products_images/blood_sausage.png
Camel Hide Chews,"protein,healthy",All,Pet Food,"Camel Hide Chews - a nutritious treat for pets.",9.99,100,products_images/camel_hide_chews.png
Carp Trout Formula,"protein,healthy",All,Pet Food,"Carp Trout Formula - a nutritious treat for pets.",9.99,100,products_images/carp_trout_formula.png
Catfish,"protein,healthy",All,Pet Food,"Catfish - a nutritious treat for pets.",9.99,100,products_images/catfish.png
Catnip Biscuit,"protein,healthy",Cats,Treats,"Catnip Biscuit - a nutritious treat for pets.",9.99,100,products_images/catnip_biscuit.png
Caviar,"protein,healthy",All,Pet Food,"Caviar - a nutritious treat for pets.",9.99,100,products_images/caviar.png
Cheese Flavour Spray,"protein,healthy",All,Pet Food,"Cheese Flavour Spray - a nutritious treat for pets.",9.99,100,products_images/cheese_flavour_spray.png
Cheese Sticks,"protein,healthy",All,Pet Food,"Cheese Sticks - a nutritious treat for pets.",9.99,100,products_images/cheese_sticks.png
